l_freq_filter,h_freq_filter,channels_to_drop,baseline_correction,projectors_to_apply,selected_frequency,tmin,tmax,detrend,reject,flat,ica_to_exclude,scaler,n_components,cov_est,log,model_type,trial_combo,sub_A,sub_C,sub_D,sub_E,sub_F,sub_G,sub_H,sub_J,sub_L
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,concat,True,NN,"(1, 4)",0.4464285671710968,0.529411792755127,0.6575342416763306,0.5,0.5,0.49295774102211,0.46666666865348816,0.5675675868988037,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,concat,True,NN,"(2, 4)",0.5333333611488342,0.5833333134651184,0.4931506812572479,0.5,0.5375000238418579,0.5270270109176636,0.4838709533214569,0.5142857432365417,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,concat,True,NN,"(1, 3)",0.4482758641242981,0.4583333432674408,0.5352112650871277,0.4852941036224365,0.5,0.534246563911438,0.5344827771186829,0.6714285612106323,0.49367088079452515
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,concat,True,LDA,"(1, 5)",0.5370370370370371,0.5714285714285714,0.6805555555555556,0.6231884057971014,0.625,0.5068493150684932,0.5344827586206896,0.7466666666666667,0.5128205128205128
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,concat,True,LDA,"(1, 4)",0.5,0.5882352941176471,0.6712328767123288,0.5428571428571428,0.7,0.5070422535211268,0.5254237288135594,0.7567567567567568,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,concat,True,LDA,"(2, 4)",0.7666666666666667,0.5,0.4931506849315068,0.5142857142857142,0.6375,0.47297297297297297,0.4918032786885246,0.8428571428571429,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,concat,True,LDA,"(1, 3)",0.5423728813559322,0.5753424657534246,0.5915492957746479,0.5294117647058824,0.6375,0.6438356164383562,0.5344827586206896,0.4857142857142857,0.4936708860759494
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,concat,False,NN,"(1, 5)",0.41818180680274963,0.4714285731315613,0.5,0.6666666865348816,0.5,0.5205479264259338,0.5,0.5333333611488342,0.5128205418586731
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,concat,False,NN,"(1, 4)",0.5438596606254578,0.4852941036224365,0.5068492889404297,0.4714285731315613,0.4124999940395355,0.4225352108478546,0.5,0.6891891956329346,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,concat,False,NN,"(2, 4)",0.4833333194255829,0.5416666865348816,0.5068492889404297,0.5142857432365417,0.512499988079071,0.5405405163764954,0.4833333194255829,0.5142857432365417,0.5
